lbd,S,freq
7.2e-07,-120.0,416378413888888.9
7.202e-07,-46.1615926,416262785337406.25
7.204e-07,-120.0,416147220988339.8
7.206e-07,-40.8772068,416031720788232.0
7.208e-07,-120.0,415916284683684.75
7.21e-07,-50.5157779,415800912621359.25
7.212e-07,-65.5099978,415685604547975.6
7.214e-07,-47.20978,415570360410313.3
7.216e-07,-49.5767462,415455180155210.6
7.218e-07,-120.0,415340063729564.94
7.22e-07,-120.0,415225011080332.4
7.222e-07,-56.9696762,415110022154527.8
7.224e-07,-120.0,414995096899224.8
7.226e-07,-48.6114601,414880235261555.5
7.228e-07,-51.1507951,414765437188710.56
7.23e-07,-120.0,414650702627939.1
7.232e-07,-65.5339907,414536031526548.7
7.234e-07,-46.9308661,414421423831904.9
7.236e-07,-120.0,414306879491431.7
7.238e-07,-50.5225063,414192398452611.25
7.24e-07,-120.0,414077980662983.44
7.242e-07,-43.0155003,413963626070146.4
7.244e-07,-49.3689315,413849334621755.94
7.246e-07,-120.0,413735106265525.8
7.248e-07,-120.0,413620940949227.4
7.25e-07,-120.0,413506838620689.6
7.252e-07,-120.0,413392799227799.25
7.254e-07,-51.7195458,413278822718500.1
7.256e-07,-47.5817915,413164909040793.8
7.258e-07,-44.3727839,413051058142739.06
7.26e-07,-40.9167646,412937269972451.8
7.262e-07,-44.3069564,412823544478105.2
7.264e-07,-45.0337449,412709881607929.5
7.266e-07,-120.0,412596281310212.0
7.268e-07,-120.0,412482743533296.7
7.27e-07,-120.0,412369268225584.6
7.272e-07,-120.0,412255855335533.56
7.274e-07,-44.2418983,412142504811657.94
7.276e-07,-120.0,412029216602528.9
7.278e-07,-44.2416923,411915990656773.8
7.28e-07,-44.0468447,411802826923076.94
7.282e-07,-49.2775259,411689725350178.56
7.284e-07,-120.0,411576685886875.4
7.286e-07,-120.0,411463708482020.3
7.288e-07,-46.139875,411350793084522.5
7.29e-07,-46.7884897,411237939643347.06
7.292e-07,-43.0134102,411125148107515.06
7.294e-07,-120.0,411012418426103.7
7.296e-07,-46.764957,410899750548245.6
7.298e-07,-45.768312,410787144423129.6
7.3e-07,-120.0,410674600000000.0
7.302e-07,-120.0,410562117228156.7
7.304e-07,-120.0,410449696056955.06
7.306e-07,-120.0,410337336435806.2
7.308e-07,-120.0,410225038314176.25
7.31e-07,-120.0,410112801641586.9
7.312e-07,-120.0,410000626367614.9
